Texteingaben : Proben-beschriftung;"dpp-PUL6-5"
Allgemein : Startdatum;16.08.2018 16:37:44
Abmessung : Querschnitt;3,45000;mm^2

Zeit;Traversenweg;Last;Dehnung 1;Zugspannung
(sec);(mm);(kN);(%);(MPa)
0,00000;0,0001;0,057;0,00606;16,50
0,10000;0,0007;0,060;0,00620;17,44
0,20000;0,0027;0,065;0,00717;18,92
0,30000;0,0048;0,075;0,00869;21,78
0,40000;0,0064;0,079;0,00979;23,01
0,50000;0,0083;0,088;0,01097;25,62
0,60000;0,0101;0,097;0,01213;28,22
0,70000;0,0117;0,109;0,01327;31,65
0,80000;0,0133;0,122;0,01434;35,27
0,90000;0,0149;0,132;0,01544;38,16
1,00000;0,0165;0,142;0,01648;41,08
1,10000;0,0182;0,150;0,01755;43,36
1,20000;0,0201;0,162;0,01881;47,07
1,30000;0,0218;0,170;0,02000;49,39
1,40000;0,0234;0,174;0,02098;50,51
1,50000;0,0250;0,180;0,02209;52,07
1,60000;0,0265;0,186;0,02311;53,98
1,70000;0,0282;0,191;0,02418;55,23
1,80000;0,0300;0,195;0,02543;56,45
1,90000;0,0318;0,197;0,02656;57,04
2,00000;0,0333;0,199;0,02776;57,80
2,10000;0,0351;0,202;0,02884;58,45
2,20000;0,0366;0,204;0,02996;59,12
2,30000;0,0382;0,206;0,03094;59,79
2,40000;0,0399;0,207;0,03202;60,09
2,50000;0,0418;0,209;0,03325;60,54
2,60000;0,0434;0,210;0,03433;60,88
2,70000;0,0451;0,212;0,03544;61,53
2,80000;0,0467;0,214;0,03653;61,93
2,90000;0,0482;0,214;0,03758;62,14
3,00000;0,0498;0,215;0,03864;62,34
3,10000;0,0517;0,217;0,03974;62,77
3,20000;0,0535;0,217;0,04095;62,97
3,30000;0,0550;0,220;0,04201;63,73
3,40000;0,0567;0,221;0,04303;64,03
3,50000;0,0582;0,222;0,04410;64,47
3,60000;0,0598;0,223;0,04513;64,68
3,70000;0,0617;0,225;0,04627;65,30
3,80000;0,0635;0,228;0,04750;66,08
3,90000;0,0651;0,231;0,04854;67,08
4,00000;0,0667;0,234;0,04949;67,85
4,10000;0,0683;0,236;0,05056;68,45
4,20000;0,0699;0,239;0,05157;69,32
4,30000;0,0716;0,247;0,05267;71,57
4,40000;0,0734;0,254;0,05375;73,71
4,50000;0,0751;0,262;0,05492;75,88
4,60000;0,0767;0,271;0,05598;78,66
4,70000;0,0784;0,279;0,05699;81,01
4,80000;0,0800;0,286;0,05803;82,92
4,90000;0,0815;0,295;0,05910;85,43
5,00000;0,0833;0,302;0,06018;87,48
5,10000;0,0851;0,308;0,06130;89,18
5,20000;0,0867;0,315;0,06246;91,26
5,30000;0,0884;0,320;0,06347;92,65
5,40000;0,0901;0,324;0,06462;94,06
5,50000;0,0916;0,330;0,06564;95,60
5,60000;0,0933;0,332;0,06666;96,29
5,70000;0,0951;0,338;0,06778;97,91
5,80000;0,0969;0,344;0,06900;99,60
5,90000;0,0984;0,348;0,06997;100,77
6,00000;0,1000;0,353;0,07103;102,38
6,10000;0,1016;0,356;0,07203;103,26
6,20000;0,1031;0,361;0,07307;104,50
6,30000;0,1049;0,365;0,07424;105,66
6,40000;0,1068;0,373;0,07536;108,03
6,50000;0,1084;0,378;0,07640;109,58
6,60000;0,1100;0,383;0,07746;111,07
6,70000;0,1117;0,389;0,07852;112,77
6,80000;0,1132;0,393;0,07956;113,81
6,90000;0,1149;0,401;0,08056;116,20
7,00000;0,1167;0,404;0,08170;117,24
7,10000;0,1185;0,414;0,08283;119,90
7,20000;0,1200;0,421;0,08381;121,99
7,30000;0,1217;0,427;0,08482;123,64
7,40000;0,1232;0,434;0,08593;125,88
7,50000;0,1248;0,440;0,08689;127,63
7,60000;0,1267;0,447;0,08799;129,70
7,70000;0,1285;0,453;0,08915;131,45
7,80000;0,1300;0,457;0,09018;132,33
7,90000;0,1317;0,462;0,09120;133,86
8,00000;0,1333;0,465;0,09231;134,87
8,10000;0,1349;0,467;0,09329;135,43
8,20000;0,1366;0,470;0,09431;136,23
8,30000;0,1385;0,473;0,09545;137,18
8,40000;0,1401;0,476;0,09650;138,04
8,50000;0,1417;0,477;0,09752;138,26
8,60000;0,1433;0,478;0,09863;138,68
8,70000;0,1449;0,480;0,09949;139,12
8,80000;0,1465;0,482;0,10049;139,76
